id,symbol,timeframe,data_type,rows_existing,rows_fetched,rows_final,gaps_found,status,issues,fetched_at
61975,ETHUSDT,1m,ohlcv,55636,7,55640,0,ok,"",2026-07-20 06:42:37.637159+00
61974,SOLUSDT,8h,funding_rate,3925,200,3925,0,ok,"",2026-07-20 06:42:36.319099+00
61973,ETHUSDT,8h,funding_rate,3925,200,3925,0,ok,"",2026-07-20 06:42:34.308236+00
61972,BTCUSDT,8h,funding_rate,3925,200,3925,0,ok,"",2026-07-20 06:42:32.31685+00
61971,DOGEUSDT,1h,ohlcv,31111,3,31111,0,ok,"",2026-07-20 06:42:30.901106+00
61970,BNBUSDT,1h,ohlcv,31111,3,31111,0,ok,"",2026-07-20 06:41:53.075597+00
61969,BTCUSDT,1m,ohlcv,58826,7,58830,0,ok,"",2026-07-20 06:41:37.946575+00
61968,XRPUSDT,1h,ohlcv,31111,3,31111,0,ok,"",2026-07-20 06:41:15.690576+00
61967,SOLUSDT,1h,ohlcv,31111,3,31111,0,ok,"",2026-07-20 06:40:38.173785+00
61966,DOGEUSDT,1m,ohlcv,58823,7,58827,0,ok,"",2026-07-20 06:40:29.838232+00
61965,ETHUSDT,1h,ohlcv,31111,3,31111,0,ok,"",2026-07-20 06:40:02.840777+00
61964,BTCUSDT,1h,ohlcv,31111,3,31111,0,ok,"",2026-07-20 06:39:26.729276+00
61963,BNBUSDT,1m,ohlcv,58822,7,58826,0,ok,"",2026-07-20 06:39:20.438611+00
61962,DOGEUSDT,"4h,1h,30m,15m,5m,1d",enrich,,,,0,ok,"",2026-07-20 06:38:49.173492+00
