id,signal_id,symbol,signal_bar_utc,scan_time_utc,entry_price_planned,entry_price_actual,sl_price,tp_price,qty_contracts,leveraged_notional,confidence,funding_rate_at_entry,oi_delta_at_entry,exit_price,exit_reason,exit_time_utc,bars_held,hours_held,gross_pnl_pct,gross_pnl_usd,entry_fee,exit_fee,fees_total,funding_events,funding_total,slippage_pct,slippage_usd,max_adverse_excursion_pct,max_favorable_excursion_pct,net_pnl_pct,net_pnl_usd,risk_reward_actual,sharpe_contribution,vs_backtest_expectation,status,notes,created_at,updated_at,margin_required,open_fee,close_fee,cumulative_funding,leverage,side,funding_cost,liquidation_price,maintenance_margin,last_funding_settlement_utc,mark_price_at_entry,sl_original,atr_at_entry,entry_rsi,entry_adx,entry_session,entry_strategy,entry_regime,calibrated_prob,bybit_order_id,bybit_qty,bybit_entry_price,bybit_sl_price,bybit_tp_price,bybit_status,bybit_close_price,bybit_pnl_usd,bybit_pnl_pct,bybit_account_balance,bybit_risk_pct,bybit_dollar_risk,bybit_close_time,bybit_close_reason
3,3,XRPUSDT,2026-07-16 18:30:00,2026-07-16 18:47:26,1.08810000,1.08810000,1.07110000,1.11640000,1838.0000,7999.71,76,0.0001000000,-0.4260,1.08550000,TIME_EXIT,2026-07-17 06:47:45.222083,,12.00,-0.2389,-4.78,1.1000,1.0973,2.7976,2,0.6003,0.1000,7.9997,,,-1.5120,-7.58,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-16 18:47:32.192689,2026-07-17 06:47:45.222083,501.08,0.00,0.00,0.00,4.00,LONG,0,0.82090000,9.9996,2026-07-17 00:00:00+00,,,0.00570000,27.58,32.30,overlap,mean_reversion,MIXED,0.5000,,,,,,PENDING,,,,,,,,
10,10,BTCUSDT,2026-07-17 06:00:00,2026-07-17 06:19:46,62760.00000000,62760.00000000,63260.80710000,61925.32140000,0.0310,7782.24,76,0.0000117100,1.0550,63299.60000000,SL_HIT,2026-07-17 11:46:04.784894,,5.44,-0.8598,-16.73,1.0701,1.0793,2.2633,2,0.1139,0.1000,7.7822,,,-3.8959,-18.99,,,,CLOSED,Auto-created by orchestrator Step 5c,2026-07-17 06:19:55.668551,2026-07-17 11:46:04.784894,487.46,0.00,0.00,0.00,4.00,SHORT,0,78170.71800000,9.7278,2026-07-17 08:00:00+00,,,166.93570000,23.99,35.01,asian,trend_following,MIXED,0.5000,,,,,,PENDING,,,,,,,,
13,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 11:49:17,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 11:49:26.771075,2026-07-17 11:54:36.023192,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
16,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:04:46,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:04:57.612355,2026-07-17 12:10:06.644394,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
17,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:09:57,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:10:07.445204,2026-07-17 12:15:15.742016,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
18,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:15:07,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:15:16.578562,2026-07-17 12:20:26.018999,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
19,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:20:16,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:20:27.061184,2026-07-17 12:25:34.528666,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
20,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:25:27,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:25:35.583897,2026-07-17 12:30:45.015081,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
21,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:30:35,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:30:46.111098,2026-07-17 12:35:53.371763,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
22,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:35:46,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:35:54.193075,2026-07-17 12:41:02.931861,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
23,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:40:54,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:41:04.103893,2026-07-17 12:46:12.645913,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
24,13,BTCUSDT,2026-07-17 10:30:00,2026-07-17 12:46:04,63128.90000000,,62731.93570000,63658.18568000,0.0000,0.00,66,0.0000000000,0.0000,,,,,,,,0.0000,0.0000,0.0000,1,0.0000,0.1000,0.0000,,,,,,,,EXPIRED,Auto-created by orchestrator Step 5c,2026-07-17 12:46:13.479465,2026-07-17 12:51:20.968938,0.00,0.00,0.00,0.00,4.00,LONG,0,,,,,,,,,london,trend_following,,0.5000,,,,,,PENDING,,,,,,,,
