id,trade_id,symbol,event_type,event_time,price_at_event,balance_before,balance_after,margin_delta,fee_applied,pnl_delta,running_pnl,detail
25,32,SOLUSDT,FUNDING_SETTLEMENT,2026-07-18 08:00:08.033816+00,74.93000000,,,0.0000,0.023459,-0.0235,,"{""rate"": -0.00001177, ""sign"": -1, ""windowStart"": ""2026-07-18T08:00:00.000Z""}"
24,30,SOLUSDT,CLOSE,2026-07-18 05:42:06.190953+00,74.89000000,10052.5400,10539.3521,-499.9600,1.091522,-13.1479,,"{""netPct"": -2.629794733578668, ""reason"": ""SL_HIT"", ""grossUsd"": -10.86499999999991, ""hoursHeld"": ""3.21""}"
23,29,ETHUSDT,CLOSE,2026-07-17 16:48:39.245404+00,1838.39000000,10088.9700,10553.4263,-500.8900,1.118293,-36.4337,,"{""netPct"": -7.273787186208584, ""reason"": ""SL_HIT"", ""grossUsd"": -34.09798000000018, ""hoursHeld"": ""3.10""}"
22,29,ETHUSDT,FUNDING_SETTLEMENT,2026-07-17 16:00:08.530768+00,1828.59000000,,,0.0000,0.023804,0.0238,,"{""rate"": 0.00001177, ""sign"": 1, ""windowStart"": ""2026-07-17T16:00:00.000Z""}"
21,28,BTCUSDT,CLOSE,2026-07-17 14:00:36.747431+00,63168.20000000,10105.6100,10574.6757,-486.7600,1.077018,-17.6943,,"{""netPct"": -3.6351215814775157, ""reason"": ""SL_HIT"", ""grossUsd"": -15.456599999999955, ""hoursHeld"": ""0.38""}"
20,27,BTCUSDT,CLOSE,2026-07-17 13:34:36.511691+00,62758.80000000,10119.8600,10596.9096,-490.2100,1.070038,-13.1604,,"{""netPct"": -2.684653014014375, ""reason"": ""SL_HIT"", ""grossUsd"": -11.014299999999865, ""hoursHeld"": ""0.55""}"
19,9,ETHUSDT,CLOSE,2026-07-17 13:12:21.069646+00,1809.11000000,10093.1000,10619.4574,-500.7000,1.083566,25.6574,,"{""netPct"": 5.1242966977231905, ""reason"": ""TP_HIT"", ""grossUsd"": 28.292220000000018, ""hoursHeld"": ""7.39""}"
18,12,BNBUSDT,CLOSE,2026-07-17 13:07:36.048211+00,558.20000000,10070.1800,10591.8070,-499.8000,1.083745,21.8270,,"{""netPct"": 4.367137795118031, ""reason"": ""TP_HIT"", ""grossUsd"": 24.356999999999918, ""hoursHeld"": ""3.20""}"
17,8,SOLUSDT,CLOSE,2026-07-17 13:07:06.035137+00,73.95000000,10037.8900,10568.5129,-499.4300,1.077821,31.1929,,"{""netPct"": 6.245695843261297, ""reason"": ""TP_HIT"", ""grossUsd"": 33.654999999999895, ""hoursHeld"": ""9.27""}"
16,11,XRPUSDT,CLOSE,2026-07-17 13:01:36.112517+00,1.07650000,10060.0100,10538.8127,-500.9400,1.088826,-22.1373,,"{""netPct"": -4.419157169521275, ""reason"": ""SL_HIT"", ""grossUsd"": -19.677299999999875, ""hoursHeld"": ""3.44""}"
