id,scan_time_utc,symbol,last_bar_utc,current_price,rsi_15m_now,adx_4h_now,atr_15m_now,session_now,h4_direction,h4_ema_trend,regime,signal_type,quality,gates_passed,sl_level,tp_level,notes,created_at,gate_session_ok,gate_adx_ok,gate_direction_ok,gate_rsi_ok,gate_bull_4h_ok
963,2026-07-20 14:54:31.556777,SOLUSDT,2026-07-20 13:30:00,76.91000000,60.63,35.56,0.30571429,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.14570000,79.20290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1037,2026-07-20 21:34:34.433185,XRPUSDT,2026-07-20 21:00:00,1.11800000,60.47,38.15,0.00392143,ny_late,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.12780000,1.09450000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1203,2026-07-21 12:16:47.912735,ETHUSDT,2026-07-21 11:45:00,1935.61000000,44.50,52.28,4.73571429,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1923.29710000,1958.34144000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1076,2026-07-21 05:51:40.916157,XRPUSDT,2026-07-21 05:30:00,1.12840000,74.16,61.32,0.00454286,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.13980000,1.09291000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,t,t
1078,2026-07-21 06:02:16.83542,XRPUSDT,2026-07-21 05:30:00,1.12840000,74.16,61.32,0.00454286,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14320000,1.09291000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,t,t
1098,2026-07-21 06:55:17.178142,XRPUSDT,2026-07-21 05:30:00,1.12840000,74.16,61.32,0.00454286,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14320000,1.09291000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,t,t
1121,2026-07-21 08:19:46.481321,XRPUSDT,2026-07-21 07:45:00,1.13460000,72.30,64.48,0.00424286,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14840000,1.10145000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,t,t
1149,2026-07-21 09:33:25.283029,XRPUSDT,2026-07-21 08:45:00,1.13290000,53.72,59.19,0.00355714,london,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14180000,1.11160000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1107,2026-07-21 07:42:51.0683,XRPUSDT,2026-07-21 06:45:00,1.13490000,72.59,67.38,0.00418571,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14850000,1.10227000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,t,t
1148,2026-07-21 09:28:08.579943,XRPUSDT,2026-07-21 08:45:00,1.13290000,53.72,59.19,0.00355714,london,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14180000,1.11160000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
955,2026-07-20 14:33:29.386858,SOLUSDT,2026-07-20 13:30:00,76.91000000,60.63,35.56,0.30571429,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.14570000,79.20290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1171,2026-07-21 10:52:25.197826,BNBUSDT,2026-07-21 10:00:00,579.20000000,70.00,54.67,1.07142857,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,581.34290000,572.23577000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1023,2026-07-20 20:57:37.509851,SOLUSDT,2026-07-20 20:00:00,77.64000000,51.75,31.41,0.30357143,ny_late,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.88110000,79.91680000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
954,2026-07-20 14:33:29.386858,BTCUSDT,2026-07-20 13:30:00,64646.30000000,62.02,40.39,200.27142857,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,63995.41790000,66148.33570000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,t,t,t,f,t
1178,2026-07-21 11:13:29.775318,BTCUSDT,2026-07-21 09:45:00,66307.00000000,78.42,87.02,143.97142857,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,65947.07140000,67386.78570000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,t,t,t,f,t
1017,2026-07-20 20:41:46.737015,SOLUSDT,2026-07-20 20:00:00,77.64000000,51.75,31.41,0.30357143,ny_late,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.88110000,79.91680000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1085,2026-07-21 06:23:26.580014,BTCUSDT,2026-07-21 05:30:00,65559.10000000,76.01,37.25,127.78571429,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,65239.63570000,66325.81432000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,f,t,t,f,t
1033,2026-07-20 21:24:00.686342,SOLUSDT,2026-07-20 20:00:00,77.64000000,51.75,31.41,0.30357143,ny_late,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.88110000,79.91680000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1117,2026-07-21 08:14:31.278794,SOLUSDT,2026-07-21 07:45:00,78.59000000,75.00,56.38,0.22500000,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,78.02750000,80.27750000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
939,2026-07-20 13:56:34.05884,BTCUSDT,2026-07-20 13:30:00,64646.30000000,62.02,40.39,200.27142857,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,63995.41790000,66148.33570000,Dropped: symbol not seen in current scan,2026-07-21 12:11:45.720138,t,t,t,f,t
1147,2026-07-21 09:22:53.430652,XRPUSDT,2026-07-21 08:45:00,1.13290000,53.72,59.19,0.00355714,london,DOWN,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,1.14180000,1.11160000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
987,2026-07-20 17:11:31.494451,SOLUSDT,2026-07-20 15:45:00,77.68000000,62.76,18.33,0.43857143,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.80290000,80.24568000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,f,t,f,t
943,2026-07-20 14:01:51.249668,SOLUSDT,2026-07-20 13:30:00,76.91000000,60.63,35.56,0.30571429,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.14570000,79.20290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1173,2026-07-21 10:57:42.637636,BNBUSDT,2026-07-21 10:00:00,579.20000000,70.00,54.67,1.07142857,london,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,581.34290000,572.23577000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,t,t,f,t
1057,2026-07-21 04:00:28.032504,BNBUSDT,2026-07-21 03:30:00,574.30000000,71.43,40.68,1.12857143,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,572.04290000,579.94290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,f,t
1067,2026-07-21 04:26:57.076567,BNBUSDT,2026-07-21 03:30:00,574.30000000,71.43,40.68,1.12857143,asian,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,572.04290000,579.94290000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,f,t,t,f,t
978,2026-07-20 16:45:16.489132,SOLUSDT,2026-07-20 15:45:00,77.68000000,62.76,18.33,0.43857143,ny_open,UP,BULL,PULLBACK,NO_SIGNAL,SKIP,0/4,76.80290000,80.24568000,Dropped: symbol not seen in current scan,2026-07-21 13:10:29.154762,t,f,t,f,t
